,placeholder,expressoes
17,f_ameaca_norm_o,"Todas as {F_IDENTIDADE_P} deviam ser mortas., Eu queria que todas as {F_IDENTIDADE_P} levassem um tiro na rua., Nós devíamos nos livrar de todas as {F_IDENTIDADE_P} de uma vez por todas., Nós devíamos enforcar todas essas {F_IDENTIDADE_P}., Nós estaríamos melhores se essas {F_IDENTIDADE_P} fossem erradicadas., Seria melhor só afogar essas tais {F_IDENTIDADE_P}., Essas tais {F_IDENTIDADE_P} deviam ser executadas., Como eu queria que alguém estrangulasse essas {F_IDENTIDADE_P}., Em um mundo justo, {F_IDENTIDADE_P} como você estariam todas mortas., Só se pode ter esperança de que alguém vai dar um fim nessas {F_IDENTIDADE_P}., É para o bem de todo mundo o massacre dessas {F_IDENTIDADE_P}., Alguém devia simplesmente dar uma facada nessas {F_IDENTIDADE_P}., Alguém devia quebrar os pescoços de todas essas {F_IDENTIDADE_P}., Essas {F_IDENTIDADE_P} deviam ser queimadas na fogueira."
18,insulto_o,"Comportamento típico de {INSULTO_S}., {INSULTO_P} simplesmente não conseguem se segurar., Tem {INSULTO_P} demais nesse país."
19,m_insulto_o,"Isso é normal para um {M_INSULTO_S} como você., Para mim, você é só um {M_INSULTO_S}., Apenas outro {M_INSULTO_S} comum., Eles não passam de um bando de {M_INSULTO_P}., Você não passa de um {M_INSULTO_S}."
20,f_insulto_o,"Isso é normal para uma {F_INSULTO_S} como você., Para mim, você é só uma {F_INSULTO_S}., Apenas outra {F_INSULTO_S} comum., Elas não passam de um bando de {F_INSULTO_P}., Você não passa de uma {F_INSULTO_S}."
21,insulto_homonimo_no,"Cadela é a fêmea do cachorro., A cadela da minha amiga não gosta de ir passear., Minha cadela pariu três filhotinhos hoje., Este rio está cheio de piranhas., Piranhas são peixes carnívoros de água doce., As populações locais da Amazônia e do Pantanal se alimentam de piranhas., O lixo do meu condomínio é reciclado., O caminhão de lixo passa de madrugada na minha rua., Aquela lata de lixo fede muito., As vacas do pasto vizinho ficaram doentes., Aquela vaca dá muito leite., Um macaco fugiu do zoológico hoje., Banana é a comida favorita dos macacos., Nós humanos somos parentes próximos dos macacos., Veados são normalmente encontrados em bandos na floresta., Alguns veados têm chifres., Os veados são animais herbívoros."
22,insulto_ressig_no,"É bom ver atores pretos nos filmes famosos., Nós pretos lutamos muito para chegarmos onde estamos., Representatividade preta é importante., Aquele preto é meu melhor amigo., A cultura das pessoas pretas é linda., Eu sou viado e me orgulho disso., Sim, beijo homens. Sou viado. Isso te assusta?, Nós viados somos pessoas como quaisquer outras., Me sinto muito poderoso no mês do orgulho. Vivam os viados., Ele não tem problema nenhum em se chamar de viado., Nós nos chamamos de bichas, mas no momento que você usa isso contra a gente, se torna um insulto., Você pode odiar o quanto quiser, mas as bichas continuarão por aqui., Adoro ser bicha e irritar homofóbicos por isso., Você pode se chamar de bicha se isso for empoderador, mas outros não podem te chamar assim., Feliz mês do orgulho para todas as bichas por aí."
23,palavrao_o,"Vidas de {IDENTIDADE_P} não valem porra nenhuma., Por natureza, {IDENTIDADE_P} são só humanos de merda., Eu estou tão puto com {IDENTIDADE_P} como você., {IDENTIDADE_P} não conseguem deixar de ser idiotas."
24,m_palavrao_o,"Qual é o problema com esses {M_IDENTIDADE_P} de merda?, Fodam-se todos os {M_IDENTIDADE_P}., Todos os {M_IDENTIDADE_P} deviam se foder., {M_IDENTIDADE_P} podem todos ir se foder., Esses {M_IDENTIDADE_P} deviam calar a porra da boca de uma vez por todas., A maioria dos {M_IDENTIDADE_P} é seriamente fodida da cabeça., {M_IDENTIDADE_P} são os piores filhos da puta., Típico de um {M_IDENTIDADE_S} ser tão merda., Se a ideia vem de um {M_IDENTIDADE_S}, deve ser uma merda., Todos os {M_IDENTIDADE_P} neste país estão me deixando muito puto., {M_IDENTIDADE_P} são todos cuzões., A maioria dos {M_IDENTIDADE_P} é completamente babaca., Todos os {M_IDENTIDADE_P} são uns canalhas., Está na natureza de um {M_IDENTIDADE_S} ser um idiota irritante., Claro que aquele idiota era um {M_IDENTIDADE_S}."
25,f_palavrao_o,"Qual é o problema com essas {F_IDENTIDADE_P} de merda?, Fodam-se todas as {F_IDENTIDADE_P}., Todas as {F_IDENTIDADE_P} deviam se foder., {F_IDENTIDADE_P} podem todas ir se foder., Essas {F_IDENTIDADE_P} deviam calar a porra da boca de uma vez por todas., A maioria das {F_IDENTIDADE_P} é seriamente fodida da cabeça., {F_IDENTIDADE_P} são as piores filhas da puta., Típico de uma {F_IDENTIDADE_S} ser tão merda., Se a ideia vem de uma {F_IDENTIDADE_S}, deve ser uma merda., Todas as {F_IDENTIDADE_P} neste país estão me deixando muito puto., {F_IDENTIDADE_P} são todas cuzonas., A maioria das {F_IDENTIDADE_P} é completamente babaca., Todas as {F_IDENTIDADE_P} são umas canalhas., Está na natureza de uma {F_IDENTIDADE_S} ser uma idiota irritante., Claro que aquela idiota era uma {F_IDENTIDADE_S}."
26,palavrao_no,"Caralho, que dia., Que ideia foda., Nem fodendo., Porra, foi tenso., Que porra tá esse tempo hoje., Que se foda, terminei., Já mandaram eu me foder muitas vezes., Eu mandei ele se foder., A amiga dela disse que ela poderia ir à merda., Eu admito que ele estava certo em mandar eu me foder., Ela tinha direito de mandar eu me foder., Por que os bebês em aviões nunca conseguem calar a porra da boca?, Eu nunca consigo fazer minhas crianças calarem a porra da boca., A noite passada foi fodida, cara., A gente ficou tão fodido por causa de toda aquela cerveja., Seja honesto, o quão fodidos nós estamos?, A economia está muito fodida., Essa música prova que filho da puta talentoso ele é., Eu sou realmente foda pra caralho., Eu queria ser um filho da puta tão estiloso quanto aquele cara é., Merda, esqueci de trazer um guarda-chuva., Está sendo uma semana de merda., Essa merda é incrível., Eu estava sendo um bosta com ela?, Estou tentando ser uma pessoa menos merda., Meu amigo mora em um apartamento muito bosta., Que cafézinho de bosta., Eu era um bosta naquela época., Desculpa por ser um cuzão., Eu estou sendo cuzão nesses tempos., Tentando não ser cuzão., Ele me deu uma desculpa de merda., Não aguento mais essa merda., Alguém acredita em toda essa merda que eles inventaram?, Ele ficou muito puto com o que eu falei., Minha mãe me deixa puto quando chego em casa., É normal ficar puto por causa disso., Ninguém é perfeito mas ninguém precisa ser cuzão também., Eu posso ser muito babaca às vezes., Falando assim eu pareço mesmo um babaca., Eu queria ser menos babaca com as outras pessoas., Eu queria parar de ser tão idiota., Minha mãe realmente acha que eu sou um idiota., Ai mano, falar isso foi muito idiota mesmo., Vou fazer o máximo pra não ser um otário., Desculpa por ser tão otário., Me perdoa por ter sido otário., Ela percebeu que era uma ideia estúpida., Foi estúpido eu ter sugerido isso., Que exemplo estúpido."
27,ref_oracao_subs_o,"Eu absolutamente detesto pessoas, principalmente se elas são {IDENTIDADE_P}., {IDENTIDADE_P} devem saber que são seres inferiores., {IDENTIDADE_P} como você devem saber que suas vidas não valem nada."
28,m_ref_oracao_subs_o,"Eu conheço muitos {M_IDENTIDADE_P} e odeio cada um deles., Sempre que {M_IDENTIDADE_P} olham pra mim, eu acho que eles conseguem sentir que eu não sinto nada além de desprezo por eles., Não tenho nada contra {M_IDENTIDADE_P} mas a maioria deles é bem nojenta., Estou tentando me dar bem com {M_IDENTIDADE_P} mas eles são simplesmente repulsivos., Se você é  um {M_IDENTIDADE_S}, então provavelmente você é estúpido., Esses {M_IDENTIDADE_P} podem até parecer humanos mas eles são só parasitas à nossa sociedade., Mesmo que {M_IDENTIDADE_P} sejam gentis às vezes, eles ainda não passam de lixo humano., Quando {M_IDENTIDADE_P} me respondem, eu só tenho vontade de matá-los., Não consigo acreditar nesses {M_IDENTIDADE_P}, eles pensam que eu não vou matar cada um deles., Esses {M_IDENTIDADE_P} vão parar de rir quando eu começar a atirar neles., {M_IDENTIDADE_P} não são nada como a gente e é por isso que eles merecem morrer., Se {M_IDENTIDADE_P} como você se recusarem a se adaptar, eles devem sofrer por isso., {M_IDENTIDADE_P} nunca vão mudar, então temos que simplesmente nos livrar deles., Eles devem estar fodidos da cabeça se são {M_IDENTIDADE_P}., As vidas deles não valem merda nenhuma pra mim porque eles são {M_IDENTIDADE_P}., Eu já estive com {M_IDENTIDADE_P} o suficiente para saber que eles são uns completos cuzões., Eu estaria de boa com {M_IDENTIDADE_P} se eles não fossem enormes idiotas."
29,f_ref_oracao_subs_o,"Eu conheço muitas {F_IDENTIDADE_P} e odeio cada uma delas., Sempre que {F_IDENTIDADE_P} olham pra mim, eu acho que elas conseguem sentir que eu não sinto nada além de desprezo por elas., Não tenho nada contra {F_IDENTIDADE_P} mas a maioria delas é bem nojenta., Estou tentando me dar bem com {F_IDENTIDADE_P} mas elas são simplesmente repulsivas., Se você é  uma {F_IDENTIDADE_S}, então provavelmente você é estúpida., Essas {F_IDENTIDADE_P} podem até parecer humanos mas elas são só parasitas da nossa sociedade., Mesmo que {F_IDENTIDADE_P} sejam gentis às vezes, elas ainda não passam de lixo humano., Quando {F_IDENTIDADE_P} me respondem, eu só tenho vontade de matá-las., Não consigo acreditar nessas {F_IDENTIDADE_P}, elas pensam que eu não vou matar cada uma delas., Essas {F_IDENTIDADE_P} vão parar de rir quando eu começar a atirar nelas., {F_IDENTIDADE_P} não são nada como a gente e é por isso que elas merecem morrer., Se {F_IDENTIDADE_P} como você se recusarem a se adaptar, elas deveriam sofrer por isso., {F_IDENTIDADE_P} nunca vão mudar, então temos que simplesmente nos livrar delas., Elas devem estar fodidas da cabeça se são {F_IDENTIDADE_P}., As vidas delas não valem merda nenhuma pra mim porque elas são {F_IDENTIDADE_P}., Eu já estive com {F_IDENTIDADE_P} o suficiente para saber que elas são umas completas cuzonas., Eu estaria de boa com {F_IDENTIDADE_P} se elas não fossem enormes idiotas."
30,ref_frase_subs_o,"Vocês {IDENTIDADE_P} continuam se comportando mal. Não tem nada pior que o seu tipo., Eu sei que {IDENTIDADE_P} como você não conseguem evitar. Vocês são idiotas assim mesmo., {IDENTIDADE_P} como você deveriam parar de reclamar. Vocês merecem sofrer., Suas vidas não valem merda nenhuma pra mim. Vocês são só {IDENTIDADE_P}."
31,m_ref_frase_subs_o,"{M_IDENTIDADE_P} pensam que são especiais. Odeio eles., Não entendo por que você gostaria de {M_IDENTIDADE_P}. Tudo sobre eles me enoja demais., Isso é típico de {M_IDENTIDADE_P}. Eles são completamente desprezíveis., Um {M_IDENTIDADE_S} deve ter cometido aquele crime. Só eles podem ser tão violentos e cruéis., Claro que eles são estúpidos. Afinal, eles são {M_IDENTIDADE_P}., {M_IDENTIDADE_P} conseguem ser gentis com você às vezes. Não se esqueça que eles ainda são escória sem valor algum., Alguns {M_IDENTIDADE_P} chegam ao governo. Eles ainda são só lixo pra mim., Eu entendo que {M_IDENTIDADE_P} são seres humanos. Só penso que eles agem como vermes., {M_IDENTIDADE_P} se recusam a nos respeitar. Eu vou fazer eles sofrerem por isso., Esses {M_IDENTIDADE_P} não vão mudar. Vamos erradicá-los., Nós devemos simplesmente atirar neles. Afinal, eles são só {M_IDENTIDADE_P}., Esses tipos de {M_IDENTIDADE_P} nunca vão se adaptar. Eles deveriam ser executados., Não estou surpreso que a ideia era uma merda. Afinal, veio de um {M_IDENTIDADE_S}., Eles são todos completos cuzões. Não precisa nem falar que eles são {M_IDENTIDADE_P}., Estamos falando de {M_IDENTIDADE_P} aqui. Eles não conseguem evitar serem completos idiotas."
32,f_ref_frase_subs_o,"{F_IDENTIDADE_P} pensam que são especiais. Odeio elas., Não entendo por que você gostaria de {F_IDENTIDADE_P}. Tudo sobre elas me enoja demais., Isso é típico de {F_IDENTIDADE_P}. Elas são completamente desprezíveis., Uma {F_IDENTIDADE_S} deve ter cometido aquele crime. Só elas podem ser tão violentas e cruéis., Claro que elas são estúpidas. Afinal, elas são {F_IDENTIDADE_P}., {F_IDENTIDADE_P} conseguem ser gentis com você às vezes. Não se esqueça que elas ainda são escória sem valor algum., Algumas {F_IDENTIDADE_P} chegam ao governo. Elas ainda são só lixo pra mim., Eu entendo que {F_IDENTIDADE_P} são seres humanos. Só penso que elas agem como vermes., {F_IDENTIDADE_P} se recusam a nos respeitar. Eu vou fazer elas sofrerem por isso., Essas {F_IDENTIDADE_P} não vão mudar. Vamos erradicá-las., Nós devemos simplesmente atirar nelas. Afinal, elas são só {F_IDENTIDADE_P}., Esses tipos de {F_IDENTIDADE_P} nunca vão se adaptar. Elas deveriam ser executadas., Não estou surpreso que a ideia era uma merda. Afinal, veio de uma {F_IDENTIDADE_S}., Elas são todos completas cuzonas. Não precisa nem falar que elas são {F_IDENTIDADE_P}., Estamos falando de {F_IDENTIDADE_P} aqui. Elas não conseguem evitar serem completas idiotas."
33,negacao_pos_o,"Não tenho compaixão nenhuma por qualquer {IDENTIDADE_S} como você., Por natureza, {IDENTIDADE_P} nunca são atraentes., {IDENTIDADE_P} nunca são inteligentes., {IDENTIDADE_P} não conseguem ser tão inteligentes quanto os outros., Claro que direitos humanos não deviam se aplicar a {IDENTIDADE_P}., {IDENTIDADE_P} não merecem viver como outros humanos, Não vale a pena proteger as vidas de {IDENTIDADE_P}., As vidas de {IDENTIDADE_P} não importam., Suas vidas de {IDENTIDADE_S} não deveriam ser importantes pra ninguém., Suas vidas de {IDENTIDADE_S} não têm valor., As vidas de {IDENTIDADE_P} não tem valor nenhum., {IDENTIDADE_P} como vocês não merecem viver., {IDENTIDADE_P} não pertencem nesta terra."
34,m_negacao_pos_o,"{M_IDENTIDADE_P} claramente não são nossos semelhantes., Não tem espaço no planeta pra nenhum {M_IDENTIDADE_S} como você., Nenhum {M_IDENTIDADE_S} pode ser um membro valioso da sociedade., Devia ser claro que {M_IDENTIDADE_P} não são humanos., Não devemos deixar nenhum {M_IDENTIDADE_S} viver., Eu nunca levantaria um dedo para salvar a vida de um {M_IDENTIDADE_S}., Esses {M_IDENTIDADE_P} não têm direito de estarem vivos."
35,f_negacao_pos_o,"{F_IDENTIDADE_P} claramente não são nossas semelhantes., Não tem espaço no planeta pra nenhuma {F_IDENTIDADE_S} como você., Nenhuma {F_IDENTIDADE_S} pode ser um membro valioso da sociedade., Devia ser claro que {F_IDENTIDADE_P} não são humanas., Não devemos deixar nenhuma {F_IDENTIDADE_S} viver., Eu nunca levantaria um dedo para salvar a vida de uma {F_IDENTIDADE_S}., Essas {F_IDENTIDADE_P} não têm direito de estarem vivas."
36,negacao_neg_no,"Vou ser bem claro: eu não odeio {IDENTIDADE_P}., No meu coração não tem ódio por vocês {IDENTIDADE_P}., Não gosto de pessoas no geral mas também não tenho nada contra {IDENTIDADE_P}., Estou feliz que as pessoas estão percebendo que {IDENTIDADE_P} não são ignorantes., Eu nunca disse que {IDENTIDADE_P} são escória., Nós nunca devemos apoiar um político que trata {IDENTIDADE_P} como lixo., Vidas de {IDENTIDADE_P} não têm menos valor que qualquer outra., Eu nunca vou tolerar o assassinato sistemático de {IDENTIDADE_P} nesse país., Nós nunca devemos perdoar o assassinato de qualquer {IDENTIDADE_S}., Não devemos deixar {IDENTIDADE_P} sofrerem."
37,m_negacao_neg_no,"É óbvio que {M_IDENTIDADE_P} são o completo oposto de estúpidos., Não devemos fazer {M_IDENTIDADE_P} sofrerem mais do que eles já sofrem., Não devemos permitir que nenhum {M_IDENTIDADE_S} seja estuprado., Eu nunca machucaria nenhum {M_IDENTIDADE_S}., Nós não devemos mais permitir que {M_IDENTIDADE_P} sejam atacados., {M_IDENTIDADE_P} não merecem ser torturados assim., Nenhum {M_IDENTIDADE_S} merece morrer., Não vamos ficar parados enquanto {M_IDENTIDADE_P} estão sendo assassinados., Nenhum {M_IDENTIDADE_S} deve ser executado."
38,f_negacao_neg_no,"É óbvio que {F_IDENTIDADE_P} são o completo oposto de estúpidas., Não devemos fazer {F_IDENTIDADE_P} sofrerem mais do que elas já sofrem., Não devemos permitir que nenhuma {F_IDENTIDADE_S} seja estuprada., Eu nunca machucaria nenhuma {F_IDENTIDADE_S}., Nós não devemos mais permitir que {F_IDENTIDADE_P} sejam atacadas., {F_IDENTIDADE_P} não merecem ser torturadas assim., Nenhuma {F_IDENTIDADE_S} merece morrer., Não vamos ficar parados enquanto {F_IDENTIDADE_P} estão sendo assassinadas., Nenhuma {F_IDENTIDADE_S} deve ser executada."
39,expr_pergunta_o,"Não é óbvio que eu odeio {IDENTIDADE_P}?, Não está claro o tamanho do ódio que eu sinto por vocês {IDENTIDADE_P}?, Isso não deixa na cara que {IDENTIDADE_P} são a escória?, Como pode não estar claro para todos vocês que {IDENTIDADE_P} são lixo?, Por que as pessoas não reconhecem que as vidas de {IDENTIDADE_P} não valem absolutamente nada?, Finalmente podemos concordar que {IDENTIDADE_P} são um câncer?, Por que a gente simplesmente não se livra de {IDENTIDADE_P} de uma vez por todas?, Onde está o erro em dizer que {IDENTIDADE_P} como você merecem morrer?, Onde está o erro em pensar que as vidas de {IDENTIDADE_P} não valem merda nenhuma?"
40,m_expr_pergunta_o,"É fácil perceber que eu fico com nojo de todos esses {M_IDENTIDADE_P} por aqui?, As pessoas realmente não percebem que {M_IDENTIDADE_P} são nojentos?, Quando as pessoas vão entender que só {M_IDENTIDADE_P} são tão violentos e cruéis assim?, Não é típico de um {M_IDENTIDADE_S} ser tão estúpido?, Por que todos os {M_IDENTIDADE_P} são repulsivos?, E se nós simplesmente matássemos todos os {M_IDENTIDADE_P}?, Que tal a gente cortasse as gargantas desses {M_IDENTIDADE_P}?, Não está na cara que nós estaríamos melhores se esses {M_IDENTIDADE_P} fossem erradicados?, Estou errado em pensar que esses tais {M_IDENTIDADE_P} deviam ser executados?, Por que todos os {M_IDENTIDADE_P} são completos cuzões?, Quando finalmente vai ser claro para as pessoas que é da natureza de um {M_IDENTIDADE_S} ser um idiota irritante?"
