,placeholder,expressoes
28,M_INSULTO_P_add_espaco,"t r a v e c o s, v i a d o s, b a i t o l a s, b o i o l a s, n e g õ e s, n e g u i n h o s, c r i o u l o s, p r e t o s, m a c a c o s, r e t a r d a d o s, a l e j a d o s, d e m e n t e s, m o n g o s, m o n g o l ó i d e s, m o n g ó i s, í n d i o s, m a c u m b e i r o s"
29,F_INSULTO_P_space_add,"p u t a s, v a g a b u n d a s, v a d i a s, p i r a n h a s, v a c a s, b i c h a s, f l o r z i n h a s, s a p a t õ e s"
30,IDENTIDADE_S_leet,"mulh3r, pessoa tr4ns, g4y, n3gro, pr3to, d3ficiente, 1ndígena, cand0mblecista, umb4ndista, nort1sta, sul1sta, g4úcho, cat4rinense, p4ulista, cari0ca, min3iro, nord3stino, ce4rense, bai4no, paraíb4no, maranh3nse"
31,M_IDENTIDADE_S_leet,"g4y, n3gro, pr3to, d3ficiente, 1ndígena, cand0mblecista, umb4ndista, nort1sta, sul1sta, g4úcho, cat4rinense, p4ulista, cari0ca, min3iro, nord3stino, ce4rense, bai4no, paraíb4no, maranh3nse"
32,F_IDENTIDADE_S_leet,"mulh3r, pessoa tr4ns"
33,IDENTIDADE_P_leet,"mulh3res, pessoas tr4ns, g4ys, n3gros, pr3tos, d3ficientes, 1ndígenas, cand0mblecistas, umb4ndistas, nort1stas, sul1stas, g4úchos, cat4rinenses, p4ulistas, cari0cas, min3iros, nord3stinos, ce4renses, bai4nos, paraíb4nos, maranh3nses"
34,M_IDENTIDADE_P_leet,"g4ys, n3gros, pr3tos, d3ficientes, 1ndígenas, cand0mblecistas, umb4ndistas, nort1stas, sul1stas, g4úchos, cat4rinenses, p4ulistas, cari0cas, min3iros, nord3stinos, ce4renses, bai4nos, paraíb4nos, maranh3nses"
35,F_IDENTIDADE_P_leet,"mulh3res, pessoas tr4ns"
36,INSULTO_S_leet,"put4, v4gabunda, vad1a, pir4nha, v4ca, trav3co, b1cha, vi4do, bait0la, boi0la, florz1nha, sap4tão, n3gão, negu1nho, cri0ulo, pr3to, mac4co, ret4rdado, al3jado, dem3nte, m0ngo, mong0lóide, m0ngol, índ1o, macumb3iro"
37,M_INSULTO_S_leet,"trav3co, vi4do, bait0la, boi0la, n3gão, negu1nho, cri0ulo, pr3to, mac4co, ret4rdado, al3jado, dem3nte, m0ngo, mong0lóide, m0ngol, índ1o, macumb3iro"
38,F_INSULTO_S_leet,"put4, v4gabunda, vad1a, pir4nha, v4ca, b1cha, florz1nha, sap4tão"
39,INSULTO_P_leet,"put4s, v4gabundas, vad1as, pir4nhas, v4cas, trav3cos, b1chas, vi4dos, bait0las, boi0las, florz1nhas, sap4tões, n3gões, negu1nhos, cri0ulos, pr3tos, mac4cos, ret4rdados, al3jados, dem3ntes, m0ngos, mong0lóides, m0ngóis, índ1os, macumb3iros"
40,M_INSULTO_P_leet,"trav3cos, vi4dos, bait0las, boi0las, n3gões, negu1nhos, cri0ulos, pr3tos, mac4cos, ret4rdados, al3jados, dem3ntes, m0ngos, mong0lóides, m0ngóis, índ1os, macumb3iros"
41,F_INSULTO_P_leet,"put4s, v4gabundas, vad1as, pir4nhas, v4cas, b1chas, florz1nhas, sap4tões"
